"GeneID","LWC142","LWC143","LWC148","LWC153","LWC157","LWC162"
"CTRC",0,12,0,0,0,1
"CTRL",1,11,4,4,15,6
"CTSA",193,559,226,554,1170,533
"CTSB",1854,2323,1526,1866,3001,2560
"CTSC",177,231,178,121,456,207
"CTSD",8335,22253,13575,13953,17727,15846
"CTSE",0,5,0,0,0,0
"CTSH",648,1055,316,977,1229,690
"CTSL",1981,2246,3293,3962,2731,1727
"CTSO",11,26,8,14,16,10
"CTSZ",1657,2222,3689,1961,2952,3429
"CTTN",43,82,22,31,46,28
"CTTNBP2",109,70,189,184,396,270
"CTTNBP2NL",75,32,11,64,126,59
"CTU2",120,409,98,486,629,372
"CTXN1",0,10,0,3,2,0
"CTXN2",0,3,0,0,0,0
"CTXN3",2308,1350,5681,4325,2860,7911
"CTXND1",5,12,0,3,5,3
"CUBN",4769,5614,1112,1790,4343,1493
"CUEDC1",4318,8082,4057,9052,9422,6612
"CUEDC2",566,495,268,550,864,289
"CUL1",2593,3258,2642,2713,2756,2072
"CUL2",2894,3359,3039,3459,3569,3059
"CUL3",2614,3283,1852,3663,4528,2055
"CUL4A",4314,5165,6527,4559,5897,4403
"CUL4B",7716,7402,7152,7868,9312,5729
"CUL5",7549,12516,8042,11369,10630,7090
"CUNH10orf105",0,11,0,0,0,0
"CUNH10orf143",1025,2114,912,1506,1665,764
"CUNH10orf67",1325,1332,582,974,1027,388
"CUNH10orf71",0,10,0,0,0,0
"CUNH10orf88",27,43,7,34,46,41
"CUNH10orf90",0,5,0,0,0,0
"CUNH10orf95",0,12,1,4,5,0
"CUNH11orf1",54,104,85,26,45,70
"CUNH11orf16",195,278,121,176,218,121
"CUNH11orf24",178,216,56,139,180,83
"CUNH11orf49",118,106,105,112,212,104
"CUNH11orf52",6,9,1,3,5,0
"CUNH11orf53",0,2,0,0,0,0
"CUNH11orf54",492,614,737,454,696,752
"CUNH11orf58",7487,6848,7043,5418,6601,4575
"CUNH11orf87",0,8,0,0,0,0
"CUNH11orf91",0,1,0,0,0,0
"CUNH11orf94",2,13,4,19,13,7
"CUNH11orf96",0,8,0,7,5,2
"CUNH11orf97",1,5,0,2,4,1
"CUNH12orf29",197,219,217,268,243,189
"CUNH12orf4",851,1041,1489,1045,1035,902
"CUNH12orf40",8,30,11,8,15,13
"CUNH12orf43",967,1245,799,1307,1611,897
"CUNH12orf50",5,3,1,8,1,0
"CUNH12orf57",179,263,131,167,697,392
"CUNH12orf73",544,838,437,576,715,386
"CUNH12orf75",4,13,3,27,8,1
"CUNH12orf76",20,22,10,20,66,24
"CUNH13orf42",0,0,0,0,0,0
"CUNH14orf132",924,241,322,727,330,216
"CUNH14orf180",0,8,0,0,4,0
"CUNH14orf39",0,4,3,1,3,0
"CUNH15orf39",7,36,5,6,50,16
"CUNH15orf40",333,372,257,455,645,380
"CUNH15orf48",25373,32561,50125,25479,20217,24253
"CUNH15orf61",68,39,81,21,65,57
"CUNH15orf62",184,416,90,606,687,213
"CUNH15orf65",0,1,0,1,0,1
"CUNH16orf72",5436,6179,6281,5956,7582,4892
"CUNH16orf87",203,162,232,108,168,250
"CUNH16orf96",31,95,46,118,75,56
"CUNH17orf58",159,131,160,103,253,261
"CUNH17orf64",3,12,3,3,11,4
"CUNH17orf67",0,4,0,0,0,0
"CUNH17orf75",426,529,562,554,764,590
"CUNH17orf80",589,706,605,993,1018,710
"CUNH18orf21",495,298,517,487,428,422
"CUNH18orf25",1478,1945,1020,2281,1774,990
"CUNH18orf32",644,598,1026,1221,790,858
"CUNH18orf54",1592,1733,1360,1955,2097,1221
"CUNH18orf63",29,96,31,28,27,6
"CUNH19orf25",0,0,0,0,0,0
"CUNH19orf44",1013,1114,1043,1192,1955,957
"CUNH19orf47",479,786,486,739,1112,624
"CUNH1orf109",90,313,87,569,754,215
"CUNH1orf112",841,955,813,1309,1419,1244
"CUNH1orf115",0,4,1,0,0,0
"CUNH1orf116",9,25,4,5,11,4
"CUNH1orf146",23,21,19,28,24,11
"CUNH1orf158",0,4,0,0,2,0
"CUNH1orf159",402,275,177,297,511,178
"CUNH1orf167",295,318,503,186,589,687
"CUNH1orf174",71,101,55,57,63,46
"CUNH1orf198",21,42,24,24,50,22
"CUNH1orf21",0,7,3,3,2,0
"CUNH1orf210",1,12,0,0,0,1
"CUNH1orf216",2,23,1,11,4,3
